"REC_NUM","ID","sex","age","subsection","season","TOTLNGTH","head","skull","humerus","ulna","wtkg"
488,283,"Male",3,2,4,128,45,32,NA,NA,49.77
490,76,"Female",5,1,4,147,52,34,NA,NA,85.97
491,201,"Female",3,1,4,125,50,30,NA,NA,73.3
492,353,"Male",2,1,4,135,46,28,NA,NA,54.3
493,279,"Male",3,2,4,122,46,26,NA,NA,40.72
494,21,"Male",8,NA,4,178,70,36,NA,NA,196.4
495,281,"Female",3,2,4,141,45,29,NA,NA,43.44
496,139,"Female",9,2,4,140,50,32,NA,NA,57.92
497,407,"Male",1,2,4,90,36,25,NA,NA,15.38
498,409,"Female",1,2,4,86,33,22,NA,NA,13.57
499,411,"Female",1,2,4,89,34,22,NA,NA,14.48
500,461,"Male",6,NA,4,161,59,35,NA,NA,121.3
501,211,"Male",3,1,4,141,50,31,NA,NA,62.44
502,23,"Male",12,NA,4,178,70,38,NA,NA,206.8
503,141,"Female",8,1,4,158,55,32,NA,NA,77.83
504,433,"Male",1,1,4,104,40,25,NA,NA,25.34
505,435,"Female",1,1,4,100,38,23,NA,NA,18.55
506,437,"Female",1,1,4,108,40,23,NA,NA,20.81
507,453,"Male",6,NA,4,157,66,36,NA,NA,105
509,447,"Male",5,NA,4,185,67,37,NA,NA,139.4
510,56,"Female",12,1,4,149,56,32,NA,NA,82.35
511,405,"Male",1,1,4,102,43,24,NA,NA,31.67
513,335,"Male",5,NA,4,183,74,39,NA,NA,158.8
514,267,"Male",3,2,1,146,50,32,NA,NA,47.06
