City,Species,DBH,TF,BLVD,SidewalkDamage,SGR,Shape
5,7,20,7.1,10,0,110,210
5,7,20,6.8,10,0,110,210
5,7,21,7.6,10,0,110,210
5,7,19,8.2,9,1,110,210
5,7,9,3.4,9,0,110,210
5,7,17,6.9,13,0,110,210
5,7,6,2.6,13,0,110,210
5,7,8,3.5,10,0,110,210
5,7,24,10.6,11,1,110,210
5,7,10,3.3,11,0,110,210
5,7,10,3.9,11,0,110,210
5,7,17,5.9,15,0,110,210
5,7,15,5.5,15,1,110,210
5,7,6,2.2,5,0,110,210
5,7,8,3.3,10,0,110,210
5,7,10,4,10,0,110,210
5,7,30,14.6,10,0,110,210
5,7,27,10.1,10,0,110,210
5,7,21,10.1,11,0,110,210
5,7,13,4.9,11,0,110,210
5,7,21,6.9,11,0,110,210
5,7,24,9.1,11,0,110,210
5,7,24,9.7,11,0,110,210
5,7,13,4.8,12,0,110,210
5,7,14,5.4,12,0,110,210
5,7,15,5.7,12,0,110,210
5,7,6,2.7,12,0,110,210
5,7,13,4.8,0,0,110,210
5,7,16,5.4,6,0,110,210
5,7,15,5.7,6,1,110,210
5,7,7,2.6,8,1,110,210
1,7,10,3.6,7,0,110,210
1,7,16,5.5,7,0,110,210
1,7,12,4.2,7,0,110,210
1,7,12,3.6,7,0,110,210
1,7,13,5.1,7,0,110,210
1,7,16,6.3,9,0,110,210
1,7,28,10.7,10,0,110,210
1,7,19,7.4,10,0,110,210
1,7,11,4,10,0,110,210
1,7,13,5.5,9,0,110,200
1,7,10,5,9,0,110,200
1,7,7,2.7,8,0,110,210
1,7,8,3.3,8,0,110,210
1,7,9,3.4,8,0,110,210
1,7,20,7.7,12,0,110,210
1,7,8,2.9,12,1,110,210
1,7,9,3.2,9,0,110,210
1,7,11,4.4,12,1,110,210
1,7,12,4.2,12,0,110,210
1,7,15,5.8,12,0,110,210
1,7,10,4.4,12,0,110,210
1,7,14,5.7,12,0,110,210
1,7,14,6.1,12,0,110,210
1,7,14,5.2,10,0,110,210
1,7,15,5.2,10,0,110,210
1,7,15,4.7,10,1,110,210
1,7,13,5.5,12,0,110,210
1,7,17,6.9,12,0,110,210
1,7,14,5.3,12,1,110,210
1,7,12,5.1,10,0,110,210
1,7,6,2.1,10,1,110,210
1,7,6,2.2,10,0,110,210
1,7,14,6.2,10,1,110,210
1,7,6,2.3,11,0,110,210
1,7,12,4.9,11,1,110,210
1,7,13,5.8,11,1,110,210
1,7,16,6.2,11,1,110,210
1,7,10,3.8,11,1,110,210
1,7,16,5.4,14,0,110,210
1,7,17,6.1,14,0,110,210
1,7,12,4.4,15,1,110,210
1,7,16,6.7,15,1,110,210
1,7,11,4.4,15,1,110,210
1,7,15,5.8,15,1,110,210
1,7,15,5.8,15,0,110,210
1,7,15,6.8,13,0,110,210
1,7,8,2.7,13,1,110,210
1,7,32,12.9,13,1,110,210
1,7,16,6.2,5,0,110,210
1,7,20,7.2,5,0,110,210
1,7,21,9,5,0,110,210
1,7,19,7.6,14,0,110,210
3,7,22,7.3,9,0,110,210
3,7,27,9.4,10,0,110,210
3,7,17,6.3,10,0,110,210
3,7,16,5.3,10,0,110,210
3,7,19,7.1,10,0,110,210
3,7,14,4.2,10,1,110,210
3,7,21,7.8,10,0,110,210
3,7,16,5.3,9,0,110,210
3,7,15,5.5,9,0,110,210
3,7,12,4.2,9,0,110,210
3,7,25,9.6,9,1,110,210
3,7,12,4.8,9,0,110,210
3,7,19,7.3,9,0,110,210
3,7,14,6.7,9,1,110,210
3,7,15,5.4,9,1,110,210
3,7,19,6.5,10,1,110,210
3,7,19,7,10,0,110,210
3,7,13,5.3,10,0,110,210
3,7,15,6.2,10,1,110,210
3,7,17,6.3,10,1,110,210
3,7,110,3.3,8,0,110,210
3,7,11,3.8,8,1,110,210
3,7,15,5.6,25,1,110,210
3,7,10,3.6,10,1,110,210
3,7,15,5.7,10,0,110,210
3,7,19,7.4,10,0,110,210
3,7,19,7.1,10,1,110,210
3,7,20,6.9,10,0,110,210
3,7,15,5.3,10,1,110,210
3,7,16,5.7,10,1,110,210
3,7,20,7.2,10,0,110,210
3,7,18,7.2,10,0,110,210
3,7,17,6.1,10,1,110,210
3,7,23,8.7,10,0,110,210
3,7,16,5.6,10,1,110,210
3,7,27,9.4,10,0,110,210
3,7,25,8.6,10,0,110,210
3,7,19,6.8,9,0,110,210
3,7,25,9.6,9,1,110,210
3,7,19,7.4,9,0,110,210
