strtno,year,period,rblval,deply,nesting2,size
44,1998,3,1.414655303,1,0,0
44,1998,4,2.237546688,1,0,0
44,1999,1,0.183953338,1,0,0
44,1999,2,0.283788291,1,0,0
44,1999,3,1.25179114,1,0,0
44,1999,4,2.178755891,1,0,0
45,1997,1,0.339884401,2,0,0
45,1997,2,0.340669344,2,0,0
45,1997,3,0.981657112,2,0,0
45,1997,4,2.214358649,2,0,0
45,1998,1,0.240533022,2,0,0
45,1998,2,0.304636712,2,0,0
45,1998,3,1.395047256,2,0,0
45,1998,4,2.257478252,2,0,0
45,1999,1,0.174979582,2,0,0
45,1999,2,0.279809646,2,0,0
45,1999,3,1.288815936,2,0,0
45,1999,4,2.16995631,2,0,0
46,1997,1,0.386332899,1,1,7.96
46,1997,2,0.387366567,1,NA,7.96
46,1997,3,1.057944191,1,NA,7.96
46,1997,4,2.18220682,1,0,7.96
46,1998,1,0.262443697,1,0,7.96
46,1998,2,0.319949221,1,0,7.96
46,1998,3,1.341394578,1,0,7.96
46,1998,4,2.228909729,1,0,7.96
46,1999,1,0.193799021,1,0,7.96
46,1999,2,0.307811809,1,0,7.96
46,1999,3,1.345163989,1,0,7.96
46,1999,4,2.127940325,1,1,7.96
47,1997,1,0.376800488,2,0,7.96
47,1997,2,0.377675095,2,0,7.96
47,1997,3,1.038286754,2,0,7.96
47,1997,4,2.194267842,2,0,7.96
47,1998,1,0.253880839,2,1,7.96
47,1998,2,0.314966618,2,0,7.96
47,1998,3,1.372217895,2,0,7.96
47,1998,4,2.23537309,2,0,7.96
47,1999,1,0.186222656,2,1,7.96
47,1999,2,0.300831612,2,0,7.96
47,1999,3,1.347092501,2,1,7.96
47,1999,4,2.125441212,2,0,7.96
48,1997,1,0.374704997,1,0,0
48,1997,2,0.377286043,1,0,0
48,1997,3,1.089731232,1,0,0
48,1997,4,2.192419396,1,0,0
48,1998,1,0.248547514,1,0,0
48,1998,2,0.303807795,1,0,0
48,1998,3,1.306067435,1,0,0
48,1998,4,2.241273228,1,0,0
48,1999,1,0.183965852,1,0,0
48,1999,2,0.304310714,1,0,0
48,1999,3,1.362097335,1,0,0
48,1999,4,2.137997632,1,0,0
49,1997,1,0.301825471,2,0,0.33
49,1997,2,0.320304204,2,1,0.33
49,1997,3,0.970427458,2,0,0.33
49,1997,4,2.118351849,2,0,0.33
49,1998,1,0.39199386,2,0,0.33
49,1998,2,0.479765477,2,0,0.33
